楼盘名,楼盘地址,所在地区,房子户型,房子面积,房子价格
保利罗兰国际,[ 黄埔 萝岗区府 ] 开达路,黄埔,1室/2室/3室/4室,建筑面积：54-172㎡,40000
中鼎名汇,[ 黄埔 黄埔区府 ] 丰乐北路,黄埔,商业,建筑面积：49-86㎡,26000
御湖名邸,[ 黄埔 长岭居 ] 金坑水库路38号,黄埔,别墅,建筑面积：329-650㎡,668
招鑫富荔广场,[ 黄埔 科学城 ] 青年路,黄埔,商业,建筑面积：66-89㎡,38000
实地•广州常春藤,[ 黄埔 长岭居 ] 禾丰路,黄埔,2室/3室/4室/5室,建筑面积：70-140㎡,28000
萝岗敏捷广场,[ 黄埔 萝岗区府 ] 水西路（盈翠公园斜对面）,黄埔,商业,建筑面积：53-111㎡,22000
东港花园,[ 黄埔 黄埔区府 ] 文船路363号,黄埔,1室/2室/3室,建筑面积：42.52-117㎡,40000
广州国际港航中心,[ 黄埔 黄埔区府 ] 黄埔大道东980号,黄埔,商业,建筑面积：35-1980㎡,39000
中新广州知识城国际领军人才集聚区,[ 黄埔 知识城 ] 狮龙大道中（凤凰湖北岸）,黄埔,,建筑面积：145000㎡,
保利中珺广场,[ 黄埔 萝岗区府 ] 开发区欣兰三街1号,黄埔,,建筑面积：21744㎡,
保利鱼珠港,[ 黄埔 黄埔区府 ] 黄埔大道东840号（三溪地铁站）,黄埔,,建筑面积：34-2223㎡,33000
广州国际港航中心二期,[ 黄埔 黄埔区府 ] 黄埔大道东980号,黄埔,商业,建筑面积：53-110㎡,35000
五矿壹云台,[ 黄埔 长岭居 ] 永顺大道(有轨电车1号线岭头站旁),黄埔,3室/4室,建筑面积：88-165㎡,
碧桂园星悦台,[ 黄埔 科学城 ] 永顺大道（有轨电车1号线首发站新丰路...,黄埔,商业,建筑面积：44-52㎡,14000
黄埔创新中心,[ 黄埔 黄埔区府 ] 丰乐北路段碧山村路口(广汽本田对面或...,黄埔,商业,建筑面积：40㎡,
广州国际智慧产业中心GIC,[ 黄埔 知识城 ] 九龙大道旺村地铁C出口,黄埔,,建筑面积：1060000㎡,13000
融创·翔龙廣府壹號,[ 黄埔 科学城 ] 广州市天河智慧城旁黄陂地铁站C出口,黄埔,,建筑面积：349800㎡,
龙湖·双珑原著,[ 黄埔 知识城 ] 凤凰湖畔,黄埔,,建筑面积：333439㎡,660
科城山庄·峻森园,[ 黄埔 萝岗区府 ] 水西环路,黄埔,1室/2室/3室/4室/5室,建筑面积：35-323㎡,35000
广州绿地城,[ 黄埔 知识城 ] 中新知识城九龙大道（中新知识城南起步...,黄埔,商业,建筑面积：50㎡,13000
招商雍景湾,[ 黄埔 知识城 ] 腾龙大道,黄埔,3室/4室,建筑面积：89-115㎡,28000
雅居乐富春山居,[ 黄埔 科学城 ] 广汕路,黄埔,3室/4室/5室,建筑面积：143-413㎡,40000
广州绿地中央广场,[ 黄埔 科学城 ] 神舟路,黄埔,商业,建筑面积：46-91㎡,20000
沁园,[ 黄埔 科学城 ] 开源大道,黄埔,别墅,建筑面积：166-434㎡,850
广州润慧科技园,[ 黄埔 科学城 ] 神舟路18号,黄埔,,建筑面积：112-206㎡,
花创社区,[ 黄埔 科学城 ] 开源大道与伴河路交汇处（丸美旁边）,黄埔,,建筑面积：610000㎡,
融达领寓,[ 黄埔 黄埔区府 ] 光宝路7号,黄埔,,建筑面积：29211㎡,25000
凯得文化广场写字楼,[ 黄埔 萝岗区府 ] 开创大道2666号（广州国际体育演艺中心...,黄埔,,建筑面积：174183㎡,
凯德中新里,[ 黄埔 知识城 ] 中新广州知识城何棠下地铁站旁,黄埔,,建筑面积：116900㎡,
雅居乐黄埔创新中心,[ 黄埔 黄埔区府 ] 黄埔丰乐北路段与碧山村路交汇处,黄埔,,建筑面积：871538㎡,
中海誉城,[ 黄埔 科学城 ] 开创大道与开源大道交汇处,黄埔,,建筑面积：1120000㎡,
黄埔万科中心,[ 黄埔 黄埔区府 ] 黄埔东路1080号,黄埔,商业,建筑面积：20-66㎡,21000
东城华庭,[ 黄埔 黄埔区府 ] 丰乐北路228号（丰乐北路与护林路交界...,黄埔,1室/2室/3室/4室,建筑面积：50.18-152.36㎡,
万科里享水韵,[ 黄埔 长岭居 ] 永顺大道中1号,黄埔,1室/2室/3室,建筑面积：47-124㎡,
金融街·融穗御府,[ 黄埔 长岭居 ] 长岭路永顺大道（新建长平小学南侧）,黄埔,,建筑面积：88000㎡,
萝岗万达广场,[ 黄埔 萝岗区府 ] 开创大道与科丰路交汇处西侧,黄埔,商业,建筑面积：63-91㎡,
越秀岭南山畔,[ 黄埔 萝岗区府 ] 开创大道与科翔路交汇处,黄埔,2室/3室,建筑面积：85-136㎡,
奥园春晓,[ 黄埔 长岭居 ] 广汕路转永顺大道交汇处,黄埔,2室/3室/4室,建筑面积：75-140㎡,
科汇金谷,[ 黄埔 科学城 ] 科学城科学大道99号,黄埔,1室/2室,建筑面积：36-103㎡,
丰逸尚居,[ 黄埔 黄埔区府 ] 黄埔石化路与黄埔东路交汇处,黄埔,1室/2室/3室,建筑面积：42.11-111.44㎡,
宏康东筑,[ 黄埔 科学城 ] 萝岗区开发区东区广深公路,黄埔,3室,建筑面积：100-100㎡,
都会新城,[ 黄埔 黄埔区府 ] 开创大道地铁13号线南岗站旁,黄埔,3室,建筑面积：88㎡,
中海原山别墅,[ 黄埔 萝岗区府 ] 开创大道与开源大道交接处,黄埔,,建筑面积：40000㎡,
万科金色梦想,[ 黄埔 科学城 ] 科学城开创大道与开源大道交接处,黄埔,,建筑面积：289177㎡,50
金峰城,[ 黄埔 科学城 ] 开发区科翔路128号,黄埔,,建筑面积：35000㎡,21000
雅居乐开发区地王项目,[ 黄埔 萝岗区府 ] 广州萝岗广汕公路一侧,黄埔,,建筑面积：613624㎡,
佳兆业城市广场,[ 黄埔 黄埔区府 ] 黄埔东路,黄埔,商业,建筑面积：50-75㎡,19000
保利学府里,[ 黄埔 黄埔区府 ] 蟹山路48号,黄埔,2室/3室,建筑面积：71-101㎡,
新福港鼎峰,[ 黄埔 萝岗区府 ] 香雪大道萝岗区府东侧,黄埔,2室/3室/4室/5室,建筑面积：88.38-242㎡,30000
万科山景城,[ 黄埔 长岭居 ] 长岭路,黄埔,2室/3室/4室,建筑面积：65-112㎡,30000
时代春树里,[ 黄埔 科学城 ] 开源大道,黄埔,3室/4室,建筑面积：80-113㎡,35000
富力悦禧花园,[ 黄埔 科学城 ] 斗园环街,黄埔,2室/3室,建筑面积：76-98㎡,
水韵翔庭,[ 黄埔 科学城 ] 开发大道锦绣路18-26号,黄埔,2室/3室/4室,建筑面积：72-118㎡,
东城国际公寓,[ 黄埔 黄埔区府 ] 大沙地黄埔东路1号,黄埔,1室/2室,建筑面积：50.78-96㎡,
悦时代花园,[ 黄埔 黄埔区府 ] 大沙地东572-590号（双）,黄埔,2室/3室,建筑面积：77-120㎡,
壹品E·Park,[ 黄埔 科学城 ] 伴河路192号（植树公园旁）,黄埔,商业,建筑面积：92㎡,
万科东荟城,[ 黄埔 科学城 ] 科学城开泰大道与开源大道交汇处（广州...,黄埔,1室/2室/3室/4室,建筑面积：38-140㎡,17000
保利越秀岭南林语,[ 黄埔 长岭居 ] 永顺大道长岭路段南侧（茅坦村以西）,黄埔,2室/3室/4室/别墅,建筑面积：75-232㎡,17000
奥园香雪华府,[ 黄埔 萝岗区府 ] 开萝大道与香雪大道交汇处（新黄埔区图...,黄埔,3室/商业,建筑面积：45-130㎡,
君和名城,[ 黄埔 黄埔区府 ] 丰乐北路128号,黄埔,商业,建筑面积：85㎡,23000
凯得文化广场,[ 黄埔 萝岗区府 ] 大塱村开创大道（临近萝岗演艺中心）,黄埔,4室,建筑面积：138㎡,
汇丽国际,[ 黄埔 萝岗区府 ] 水西路与香雪大道西交汇处（萝岗会议中...,黄埔,商业,建筑面积：94-148㎡,
碧兰轩,[ 黄埔 黄埔区府 ] 港前路109号、111号,黄埔,2室,建筑面积：79-95㎡,20000
宏康小筑,[ 黄埔 长岭居 ] 永和经济区永顺大道以北、新庄路以西1...,黄埔,2室/3室,建筑面积：76-96㎡,
勤天智品上城,[ 黄埔 知识城 ] 九龙镇广汕公路北侧镇龙一中对面,黄埔,3室/4室/6室,建筑面积：114.93-233㎡,
龙光香悦山,[ 黄埔 科学城 ] 科学城开创大道北,黄埔,4室/5室,建筑面积：280-350㎡,
飞晟汇INFACE,[ 黄埔 科学城 ] 科学城开创大道荔红二路18号,黄埔,1室/3室/4室,建筑面积：72-140㎡,
锦林山庄,[ 黄埔 科学城 ] 荔芳一街,黄埔,2室/3室/4室,建筑面积：92-157㎡,
万科金色悦府,[ 黄埔 黄埔区府 ] 大沙地东路以北（黄埔区区府旁）,黄埔,3室,建筑面积：82-99㎡,
中交港湾国际,[ 黄埔 黄埔区府 ] 港湾路44-104号,黄埔,,建筑面积：43141㎡,
兴普紫园国际,[ 黄埔 科学城 ] 科学城观虹路10号（高德汇斜对面）,黄埔,,建筑面积：43247㎡,
中洲流水人家,[ 黄埔 黄埔区府 ] 经济开发区西区,黄埔,,建筑面积：50000㎡,
保利中誉广场,[ 黄埔 黄埔区府 ] 大沙东路区府旁（地铁5号线大沙东站D出...,黄埔,,建筑面积：61535㎡,
越秀岭南雅筑,[ 黄埔 科学城 ] 科学城开源大道南侧（永和隧道前）,黄埔,2室/3室,建筑面积：81-119㎡,15000
万科里享家蔚来,[ 黄埔 长岭居 ] 新业路与布岭路交汇处（里享家公交车总...,黄埔,3室/4室,建筑面积：85-115㎡,24000
亨元项目,[ 黄埔 黄埔区府 ] 黄埔区南岗镇亨元门口地段,黄埔,,建筑面积：105300㎡,
万科SDK-D-3地块,[ 黄埔 科学城 ] 科学城、开源大道以南,黄埔,,建筑面积：289178㎡,
中国铁建海语熙岸,[ 南沙 蕉门河 ] 凤凰大道与黄阁南路交汇处,南沙,3室/4室,建筑面积：91-140㎡,29000
南沙建滔广场,[ 南沙 蕉门河 ] 凯翔路1号（蕉门地铁旁）,南沙,商业,建筑面积：98-225㎡,
方圆星宇月岛,[ 南沙 金洲 ] 进港大道（导航：方圆星宇月岛）,南沙,2室/3室,建筑面积：75-115㎡,26000
中交国际邮轮广场,[ 南沙 南沙湾 ] 国际邮轮母港（南沙客运站G口步行602米...,南沙,商业,建筑面积：66-2542㎡,
美的华发·天珀,[ 南沙 明珠湾 ] 灵山岛文字路,南沙,3室/4室,建筑面积：88-122㎡,33000
广州恒大阳光半岛,[ 南沙 万顷沙 ] 凤凰大道地铁18号线万顷沙站/深中通道...,南沙,2室/3室/4室,建筑面积：72-117㎡,200
领南星河荣誉,[ 南沙 南沙湾 ] 市二中南侧,南沙,2室/3室/4室,建筑面积：95-128㎡,30500
佳兆业悦江府,[ 南沙 明珠湾 ] 横沥镇灵山岛尖江灵北路与庙南路交汇处,南沙,3室/4室,建筑面积：95-140㎡,34000
颐德湾尚,[ 南沙 明珠湾 ] 南沙建设一路（南沙体育馆北侧）,南沙,4室/5室,建筑面积：142-188㎡,38000
中国铁建海悦国际,[ 南沙 万顷沙 ] 珠江街地铁18号线万顷沙站旁,南沙,3室/4室,建筑面积：85-125㎡,
合锦嘉泓天宇广场,[ 南沙 金洲 ] 进港大道和金岭北路交界东南侧,南沙,2室/3室/4室/5室,建筑面积：90-197㎡,21000
越秀国际总部广场（越秀天珹）,[ 南沙 金洲 ] 地铁4号线金洲站（A出口）,南沙,2室/3室/4室,建筑面积：76-140㎡,26000
南沙时代香海彼岸,[ 南沙 南沙湾 ] 漾滨路,南沙,3室/4室,建筑面积：100-130㎡,28000
中海熙园,[ 南沙 黄阁 ] 东涌镇东涌文化广场旁,南沙,2室/3室/别墅,建筑面积：88-131㎡,23000
时代维港,[ 南沙 南沙湾 ] 南沙区进港大道581号,南沙,商业,建筑面积：58-74㎡,20000
中交汇通中心,[ 南沙 明珠湾 ] 起步区灵山岛尖,南沙,,建筑面积：49-1852㎡,19000
南沙星河丹堤,[ 南沙 金洲 ] 登山路,南沙,1室/2室/3室/4室/别墅,建筑面积：49-343㎡,25000
南沙保利城,[ 南沙 黄阁 ] 鸡谷山路,南沙,2室/3室/4室,建筑面积：75-127㎡,19000
保利半岛,[ 南沙 蕉门河 ] 滨水大道东南沙儿童公园对面,南沙,4室/5室,建筑面积：97-154㎡,30000
大宏锦绣,[ 南沙 金洲 ] 环市大道西,南沙,2室/3室/4室,建筑面积：89-141㎡,23000
美的云筑,[ 南沙 黄阁 ] 东涌庆盛同兴路,南沙,2室/3室/4室,建筑面积：84-127㎡,19000
金科集美御峰,[ 南沙 黄阁 ] 黄阁新城麒麟中小学旁或导航【集美御峰...,南沙,2室/3室,建筑面积：89-115㎡,23500
灵山岛金茂湾,[ 南沙 明珠湾 ] 横沥镇灵山岛尖沙嘴中路以南,南沙,2室/3室/4室,建筑面积：98-252㎡,37000
南沙珠江湾商用,[ 南沙 南沙湾 ] 漾滨路,南沙,商业,建筑面积：57-99㎡,14000
越秀东坡,[ 南沙 金洲 ] 广州市南沙区进港大道北侧（近南沙街道...,南沙,3室/4室/5室,建筑面积：76-140㎡,26000
广州柳岸晓风,[ 南沙 明珠湾 ] 国际金融岛,南沙,2室/3室/4室,建筑面积：96-141㎡,33000
嘉霖聚和尊悦台,[ 南沙 明珠湾 ] 大岗镇康宁路8号,南沙,2室/3室,建筑面积：81-123㎡,15900
金科博翠明珠,[ 南沙 明珠湾 ] 灵山岛尖（江灵南路与文字路交汇处）,南沙,2室/3室/4室,建筑面积：85-143㎡,36000
星河东悦湾,[ 南沙 蕉门河 ] 市南大道135号星河东悦湾营销中心,南沙,3室/4室,建筑面积：86-130㎡,29000
华润置地瑞府,[ 南沙 明珠湾 ] 灵山岛尖（导航“华润置地瑞府”）,南沙,2室/3室/4室/5室/别墅,建筑面积：97-145㎡,33000
时代绿庭山语,[ 南沙 明珠湾 ] 潭灵大道大岗政府旁,南沙,2室/3室,建筑面积：80-108㎡,22000
越秀明珠天悦江湾,[ 南沙 明珠湾 ] 灵山岛尖,南沙,3室/4室,建筑面积：88-178㎡,33000
城投首筑花园,[ 南沙 明珠湾 ] 凤凰大道领界西北侧（凤凰三桥下）,南沙,3室/4室,建筑面积：101-142㎡,
绿城美的·晓风印月,[ 南沙 明珠湾 ] 灵山岛尖,南沙,3室/4室,建筑面积：100-129㎡,
星河智荟,[ 南沙 明珠湾 ] 大涌东路（地铁4号线大涌站旁）,南沙,,建筑面积：180000㎡,
星河湾区壹号,[ 南沙 金洲 ] 上隆岭路以南（湾区壹号销售中心）,南沙,商业,建筑面积：39-71㎡,19000
中交蓝色海湾,[ 南沙 南沙湾 ] 南沙客运港对面,南沙,2室/3室/4室,建筑面积：96-250㎡,33000
功夫小镇,[ 南沙 金洲 ] 上隆岭路1号真功夫总部大楼,南沙,商业,建筑面积：18-50㎡,18000
南沙珠江湾,[ 南沙 南沙湾 ] 漾滨路,南沙,2室/3室/4室,建筑面积：98-142㎡,
越秀国际总部广场（越秀天珹）商业,[ 南沙 金洲 ] 地铁4号线金洲站（A出口）,南沙,商业,建筑面积：42-87㎡,18000
星河山海湾,[ 南沙 南沙湾 ] 地铁4号线南沙客运港站A出口旁,南沙,3室/4室/5室,建筑面积：87-149㎡,30000
珠江源昌花园,[ 南沙 明珠湾 ] 新广三路1号,南沙,3室/4室,建筑面积：106-122㎡,18000
中国铁建环球中心,[ 南沙 蕉门河 ] 广州市南沙区区府旁,南沙,商业,建筑面积：38-2441㎡,55
阳光城丽景湾,[ 南沙 金洲 ] 金沙路,南沙,2室/3室/4室,建筑面积：74-196㎡,
滨海新城,[ 南沙 金洲 ] 金沙路,南沙,2室/3室/4室/5室,建筑面积：72-141㎡,21000
南沙湾御苑,[ 南沙 南沙湾 ] 进港大道,南沙,2室/3室/别墅,建筑面积：96-503㎡,28000
敏捷尚品国际,[ 南沙 金洲 ] 进港大道187号,南沙,商业,建筑面积：57-312㎡,15000
南沙金茂湾,[ 南沙 蕉门河 ] 焦西路,南沙,商业,建筑面积：138-230㎡,36000
中央郡,[ 南沙 金洲 ] 进港大道,南沙,2室/3室/4室,建筑面积：68-135㎡,22000
广晟圣淘沙,[ 南沙 金洲 ] 金沙路,南沙,1室/2室/3室,建筑面积：59-121㎡,23500
中交汇通中心商铺,[ 南沙 明珠湾 ] 起步区灵山岛尖,南沙,,建筑面积：332409㎡,40000
中海联南沙国贸中心,[ 南沙 金洲 ] 上隆岭路与金隆路交叉口西南侧（地铁金...,南沙,,建筑面积：52-934㎡,17000
南沙水岸广场,[ 南沙 蕉门河 ] 南沙牌坊旁,南沙,,建筑面积：2100㎡,23000
华海·山屿海,[ 南沙 南沙湾 ] 南沙街兴业路北侧,南沙,2室/3室,建筑面积：79-118㎡,24000
南恒大厦,[ 南沙 黄阁 ] 蕉西路南沙供电局西南侧,南沙,,建筑面积：1597㎡,
海宸逸品,[ 南沙 金洲 ] 进港大道187号北侧,南沙,1室,建筑面积：44.38㎡,20000
晴海岸商铺,[ 南沙 南沙湾 ] 三姓路,南沙,,建筑面积：148983㎡,20000
南沙奥园,[ 南沙 南沙湾 ] 珠江东路269号,南沙,,建筑面积：406190㎡,8000
景业东湖洲豪园,[ 南沙 南沙湾 ] 南沙街环市大道南横地铁口西侧,南沙,3室,建筑面积：95-121㎡,26000
港航华庭商铺,[ 南沙 金洲 ] 进港大道582号,南沙,,建筑面积：105268㎡,45000
大岗雅苑·经典,[ 南沙 明珠湾 ] 桥南街汇景大道60号,南沙,,建筑面积：55000㎡,20000
保利南沙天汇,[ 南沙 黄阁 ] 黄阁南路与进港大道交界处西南侧,南沙,,建筑面积：850000㎡,
南沙城,[ 南沙 金洲 ] 南沙区进港大道和环市大道交汇路口南侧...,南沙,,建筑面积：1302㎡,
凯德新玥商铺,[ 南沙 明珠湾 ] 蔡新路与广场路交界,南沙,,建筑面积：230000㎡,9000
星河壹号公馆,[ 南沙 金洲 ] 上隆领路北侧,南沙,商业,建筑面积：38-65㎡,20000
盈港国际,[ 南沙 金洲 ] 进港大道,南沙,商业,建筑面积：48.57-139.2㎡,16000
麒麟广场,[ 南沙 黄阁 ] 黄阁大道南,南沙,商业,建筑面积：39-60㎡,14000
临港国际商务大厦,[ 南沙 南沙湾 ] 龙穴大道中123号,南沙,商业,建筑面积：53㎡,20000
海力花园,[ 南沙 金洲 ] 进港大道555号,南沙,1室/2室/3室/4室/6室,建筑面积：76-320㎡,7600
优山悦海,[ 南沙 南沙湾 ] 商贸南2路,南沙,2室/3室/4室,建筑面积：78.67-140㎡,14500
领界,[ 南沙 明珠湾 ] 南江一路,南沙,商业,建筑面积：51-55㎡,
南沙万达广场,[ 南沙 蕉门河 ] 环市大道与双山大道交汇处,南沙,商业,建筑面积：62㎡,
誉林公园一号,[ 南沙 其他 ] 东顺路33号(豪岗大道镇政府旁),南沙,2室/3室,建筑面积：74.19-98.88㎡,
方圆合景南沙水恋,[ 南沙 黄阁 ] 黄阁汽车城地铁站A出口附近,南沙,2室/3室/4室,建筑面积：92-143㎡,
富力伯爵山商铺,[ 南沙 南沙湾 ] 南沙街英东大道中广州市第二中学南沙附...,南沙,,建筑面积：34-215㎡,10000
印月翠谷,[ 南沙 南沙湾 ] 鹿颈路七号之一,南沙,别墅,建筑面积：155-288㎡,
凯德新玥,[ 南沙 明珠湾 ] 蔡新路与广场路交界,南沙,2室/3室/4室,建筑面积：75-138㎡,
港航华庭,[ 南沙 金洲 ] 进港大道582号,南沙,3室/4室,建筑面积：101-140㎡,48000
碧桂园云麓半山,[ 南沙 金洲 ] 登山路,南沙,3室/4室/6室,建筑面积：116-219㎡,
香江国际金融中心,[ 南沙 金洲 ] 金隆路与上隆岭路交界处,南沙,商业,建筑面积：39-56㎡,20000
南沙湾石奥,[ 南沙 南沙湾 ] 港前大道南沙游艇会接待中心,南沙,1室/2室,建筑面积：77-125㎡,
滨海半岛国际公寓,[ 南沙 金洲 ] 环市大道西海宁大街108-109号,南沙,商业,建筑面积：49-79.9㎡,
越秀滨海珺城,[ 南沙 金洲 ] 环市大道西（地铁四号线金洲站出口）,南沙,2室/3室/4室,建筑面积：87-165㎡,10500
优山美墅,[ 南沙 金洲 ] 街道办事处九王庙村内，港前大道北以西...,南沙,2室/3室,建筑面积：67.46-129.32㎡,
珠光南沙御景,[ 南沙 金洲 ] 金隆路（南沙公安局对面、地税局旁边）,南沙,2室/3室/5室,建筑面积：104-143㎡,
万科府前一号,[ 南沙 蕉门河 ] 凤凰大道西侧,南沙,2室/3室/4室,建筑面积：84-143㎡,
奥园海景城,[ 南沙 金洲 ] 进港大道22号（祈福酒店旁）,南沙,3室/4室,建筑面积：135.14-179.58㎡,
观海美寓,[ 南沙 南沙湾 ] 南沙区南沙街道办事处辖内，江南路东侧...,南沙,2室/3室,建筑面积：83.58-114㎡,
成卓世纪中心,[ 南沙 南沙湾 ] 南沙进港大道和海滨路交界东南向（蕉门...,南沙,,建筑面积：31674㎡,
万科海上明月,[ 南沙 黄阁 ] 蕉门水道旁,南沙,3室/4室,建筑面积：81-137㎡,210
南沙时代,[ 南沙 金洲 ] 进港大道377号（南沙街道旁）,南沙,3室/4室,建筑面积：80-113㎡,
南沙御顷轩,[ 南沙 明珠湾 ] 万顷沙镇新垦育才路41号,南沙,2室/3室/4室,建筑面积：79-142㎡,15000
越先生的街,[ 南沙 金洲 ] 双山大道与祈丰路交汇处,南沙,,建筑面积：14600㎡,35000
星河盛世,[ 南沙 金洲 ] 金沙路（进港大道肯德基北侧前行50米）,南沙,2室/3室/4室,建筑面积：73.83-143.22㎡,12000
越秀滨海御城,[ 南沙 金洲 ] 双山大道,南沙,3室/4室/5室,建筑面积：93-144㎡,30000
万科南方公元,[ 南沙 黄阁 ] 黄阁大道南东侧,南沙,2室/3室/4室,建筑面积：70-100㎡,21000
锦珠广场,[ 南沙 明珠湾 ] 环市大道西,南沙,商业,建筑面积：413-625㎡,
万科白鹭郡,[ 南沙 黄阁 ] 黄阁大道南,南沙,4室,建筑面积：88-101㎡,27000
中大城,[ 南沙 金洲 ] 环市大道西与双山大道交汇处（金洲地铁...,南沙,2室/3室/4室,建筑面积：50-142㎡,
南沙蓝光林肯公园,[ 南沙 金洲 ] 金枫中路,南沙,3室/4室,建筑面积：100-129㎡,
大岗绿庭雅苑,[ 南沙 明珠湾 ] 东升路228号,南沙,2室/3室,建筑面积：73-93㎡,12000
逸涛湾,[ 南沙 蕉门河 ] 进港大道牌坊前100米,南沙,2室/3室,建筑面积：76-113㎡,
创鸿南沙一品,[ 南沙 金洲 ] 经济技术开发区祈福酒店南侧,南沙,2室/3室/4室,建筑面积：49-142㎡,
云台花园2,[ 南沙 金洲 ] 进港大道旁（靠近碧桂园天玺湾）,南沙,,建筑面积：306472㎡,
富力天海湾,[ 南沙 明珠湾 ] 工业一路,南沙,商业,建筑面积：40-144㎡,22000
广州时代云图,[ 南沙 金洲 ] 南沙街双山大道与金隆路交汇处(地铁四...,南沙,2室/3室/4室,建筑面积：70-110㎡,14000
南沙涉外公馆,[ 南沙 金洲 ] 进港大道579号,南沙,,建筑面积：5063㎡,
龙光棕榈水岸,[ 南沙 蕉门河 ] 金蕉大道西(新行政中心的对面),南沙,,建筑面积：270000㎡,
碧桂园海湾1号,[ 南沙 南沙湾 ] 海港大道,南沙,2室/3室/4室,建筑面积：75-140㎡,25000
悠山时光,[ 南沙 金洲 ] 进港大道,南沙,2室/3室,建筑面积：90.5-111㎡,19500
南沙裕豪轩,[ 南沙 南沙湾 ] 海景路8号,南沙,2室/3室,建筑面积：78-101㎡,
保利南沙大都汇,[ 南沙 金洲 ] 金隆路,南沙,商业,建筑面积：53-67㎡,19000
南沙心意华庭,[ 南沙 金洲 ] 金岭北路395号,南沙,2室/3室,建筑面积：68-127㎡,
南沙湾东苑,[ 南沙 南沙湾 ] 港前大道,南沙,2室/3室,建筑面积：86-145㎡,
中惠壁珑湾,[ 南沙 蕉门河 ] 南沙进港大道与凤凰大道交汇处,南沙,2室/3室/商业,建筑面积：52.6-142㎡,
城南故事,[ 南沙 其他 ] 高沙路蓝华街,南沙,2室/3室,建筑面积：85-98㎡,
广晟海韵兰庭,[ 南沙 金洲 ] 进港大道金洲商业街旁,南沙,2室/3室,建筑面积：69.49-154㎡,
南沙境界,[ 南沙 黄阁 ] 黄阁镇市南公路290号,南沙,3室/5室,建筑面积：97-276㎡,
碧桂园豪庭,[ 南沙 金洲 ] 地铁4号线金洲站东行500米,南沙,2室/3室/4室/5室/6室/7室,建筑面积：79-828㎡,
敏捷君御国际,[ 南沙 金洲 ] 进港大道与珠电路东南向交汇处,南沙,1室,建筑面积：37.8-89.5㎡,
南沙玫瑰花园,[ 南沙 南沙湾 ] 南沙街江南路玫瑰花园玫瑰街6号楼,南沙,2室/3室,建筑面积：80.34-122㎡,
蝴蝶谷,[ 南沙 金洲 ] 进港大道（南沙碧桂园东侧）,南沙,2室/3室,建筑面积：101.8-122.54㎡,
奥园金莎广场,[ 南沙 金洲 ] 进港大道与金沙路交汇处（祈福酒店旁）,南沙,1室,建筑面积：52-90㎡,
南沙云山诗意,[ 南沙 蕉门河 ] 环岛西路与丰泽东路交界的西北角,南沙,,建筑面积：64064㎡,
云台花园,[ 南沙 金洲 ] 南沙进港大道旁,南沙,,建筑面积：306472㎡,
南沙翡翠公馆,[ 南沙 金洲 ] 金隆路（金沙路）金洲村与板头村交界...,南沙,,建筑面积：60000㎡,
富力伯爵山,[ 南沙 南沙湾 ] 英东大道近振洋路,南沙,5室,建筑面积：216-248㎡,18500
南沙金湾,[ 南沙 金洲 ] 进港大道华汇广场旁,南沙,3室/4室,建筑面积：68-95㎡,
碧桂园天玺湾,[ 南沙 金洲 ] 进港大道东段北侧,南沙,别墅,建筑面积：330-650㎡,
保利星海小镇,[ 南沙 明珠湾 ] 镇南路,南沙,3室/4室,建筑面积：86.1-135㎡,
中盈一海里,[ 南沙 明珠湾 ] 环市大道西与工业一路交汇处,南沙,2室/3室/4室,建筑面积：77-125㎡,9000
碧桂园玺悦,[ 南沙 南沙湾 ] 环市大道北南侧（碧桂园天玺湾旁）,南沙,3室/4室,建筑面积：84-113㎡,23000
依山小筑,[ 南沙 金洲 ] 富佳东街,南沙,,建筑面积：27056㎡,12000
叠翠峰,[ 南沙 蕉门河 ] 蕉门路,南沙,,建筑面积：610133㎡,
碧桂园蜜柚,[ 南沙 金洲 ] 进港大道北侧（南沙碧桂园对面）,南沙,2室/3室/4室,建筑面积：68-125㎡,17000
翡翠蓝湾璟峰,[ 南沙 明珠湾 ] 蓝华街21号,南沙,2室/3室,建筑面积：77-98㎡,
晴海岸,[ 南沙 南沙湾 ] 三姓路,南沙,2室/3室,建筑面积：75-101㎡,26000
世泰凯旋公寓,[ 南沙 蕉门河 ] 环市大道与黄阁南路交接（滨海半岛花园...,南沙,1室,建筑面积：48㎡,
瀚成华府,[ 南沙 其他 ] 大岗镇潭灵大道东102-104号,南沙,3室,建筑面积：92-106㎡,
华汇国际广场,[ 南沙 金洲 ] 进港大道珠电路口,南沙,,建筑面积：67229㎡,
东平雅筑,[ 南沙 其他 ] 大岗镇东流村,南沙,,建筑面积：16475㎡,
思科智慧城12光年,[ 番禺 大学城 ] 广州国际创新城大学城南岸,番禺,4室,建筑面积：122-195㎡,45000
中国铁建花语岭南,[ 番禺 华南 ] 万博金山谷旁,番禺,4室,建筑面积：110-128㎡,46000
品秀星瀚,[ 番禺 广州南站 ] 地铁22号线陈头岗地铁站（在建中）旁,番禺,2室/3室,建筑面积：85-115㎡,36000
亚运城,[ 番禺 亚运新城 ] 兴亚二路,番禺,2室/3室/4室,建筑面积：88-162㎡,27000
广地花园·观澜,[ 番禺 华南 ] 华南快速出口（广地花园）,番禺,2室/3室/4室,建筑面积：85-123㎡,38000
